Albania,13:48:00,0
Gabon,01:13:00,2
Amdorra,08:56:00,4
Amenia,11:21:00,8
Cambodia,13:51:00,12
Chile,23:45:00,14
Austria,07:13:00,22
Greece,12:08:00,26
Czechia (Czech Republic),02:51:00,26
Ethiopia,08:07:00,28
Colombia,08:56:00,28
Austria,05:43:00,29
Cabo Verde,05:43:00,31
Guinea,19:43:00,34
China,10:29:00,41
Czechia (Czech Republic),10:29:00,45
Croatia,18:43:00,50
Bulgaria,13:51:00,50
Bulgaria,07:29:00,50
Brazil,19:38:00,51
Denmark,02:53:00,52
Ethiopia,13:51:00,54
Cyprus,16:08:00,55
Ethiopia,08:20:00,55
Dominica,10:14:00,65
Austria,08:29:00,65
Grenada,18:43:00,66
Congo (Congo-Brazzaville),05:41:00,66
Cabo Verde,10:14:00,68
Croatia,16:08:00,70
Guinea,02:53:00,71
Eritrea,13:12:00,72
El Salvador,18:43:00,72
Guinea,02:51:00,72
Comoros,16:36:00,74
Croatia,15:00:00,74
Greece,07:21:00,75
Chad,19:43:00,76
Finland,15:20:00,81
Germany,16:29:00,82
Gambia,07:13:00,83
Amenia,08:46:00,85
Eswatini (fmr.Swaziland),13:12:00,87
China,04:57:00,89
Eswatini (fmr.Swaziland),08:46:00,89
Ecuador,06:35:00,89
Bahrain,16:36:00,90
Chile,03:19:00,92
Gabon,03:19:00,95
Finland,10:29:00,97
China,12:08:00,97
Austria,04:18:00,99
Czechia (Czech Republic),16:24:00,101
Cyprus,08:56:00,102
Brazil,01:13:00,105
Colombia,23:23:00,106
Barbados,23:10:00,107
Eritrea,04:52:00,108
Costa Rica,16:08:00,109
Djibouti,08:07:00,110
Albania,10:43:00,111
Gambia,08:20:00,116
Ghana,19:43:00,117
Dominican Republic,02:51:00,118
El Salvador,02:54:00,121
Grenada,07:29:00,122
Ecuador,04:52:00,127
Chad,01:13:00,131
Czechia (Czech Republic),07:13:00,131
Albania,03:35:00,132
Cuba,16:08:00,133
Ecuador,04:18:00,134
Eswatini (fmr.Swaziland),23:10:00,135
Fiji,02:53:00,136
Dominican Republic,16:22:00,136
Grenada,04:18:00,138
France,15:20:00,139
Chile,16:36:00,141
Argentina,04:18:00,143
Greece,06:35:00,144
Estonia,07:29:00,145
Bahrain,06:23:00,149
Comoros,13:48:00,150
Grenada,02:54:00,151
Cambodia,01:27:00,155
Argentina,13:27:00,159
Greece,16:29:00,159
Bahama,06:35:00,159
Croatia,08:29:00,168
Amdorra,06:35:00,169
Canada,01:27:00,173
Grenada,03:35:00,173
Dominican Republic,04:18:00,175
Equatorial Guinea,15:20:00,175
Central African Republic,18:43:00,178
Denmark,23:23:00,182
Greece,10:43:00,182
Colombia,03:19:00,184
Guatemaia,19:38:00,184
Djibouti,02:54:00,186
El Salvador,10:43:00,188
Chile,10:43:00,191
Germany,08:07:00,196
Ethiopia,02:51:00,196
